round,model,est_rank,percentile
379,np_no_num,6546265,80.4
380,integrated_v2,3470029,42.6
380,np_no_num,3670388,45.1
381,integrated_v2,1064506,13.1
381,np_no_num,819352,10.1
382,integrated_v2,4515395,55.4
382,np_no_num,5072490,62.3
383,integrated_v2,5608001,68.9
383,np_no_num,6222922,76.4
384,integrated_v2,1797932,22.1
384,np_no_num,1475811,18.1
385,integrated_v2,3549847,43.6
385,np_no_num,3544146,43.5
386,integrated_v2,6839879,84.0
386,np_no_num,6988927,85.8
387,integrated_v2,2618913,32.2
387,np_no_num,2291498,28.1
388,integrated_v2,2544797,31.2
388,np_no_num,3064018,37.6
389,integrated_v2,1290927,15.8
389,np_no_num,919531,11.3
390,integrated_v2,6422873,78.9
390,np_no_num,6459117,79.3
391,integrated_v2,7883209,96.8
391,np_no_num,7917824,97.2
392,integrated_v2,2074443,25.5
392,np_no_num,1566217,19.2
393,integrated_v2,6087721,74.7
393,np_no_num,6192787,76.0
394,integrated_v2,4059702,49.8
394,np_no_num,3784413,46.5
395,integrated_v2,4319109,53.0
395,np_no_num,3976219,48.8
396,integrated_v2,4837924,59.4
396,np_no_num,4369606,53.6
397,integrated_v2,6324323,77.6
397,np_no_num,6161430,75.6
398,integrated_v2,4679510,57.5
398,np_no_num,5069639,62.2
399,integrated_v2,3431342,42.1
399,np_no_num,2923523,35.9
400,integrated_v2,3633330,44.6
400,np_no_num,3648397,44.8
401,integrated_v2,4016943,49.3
401,np_no_num,3739617,45.9
402,integrated_v2,3593421,44.1
402,np_no_num,3793779,46.6
403,integrated_v2,220720,2.7
403,np_no_num,175924,2.2
404,integrated_v2,3377180,41.5
404,np_no_num,4220559,51.8
405,integrated_v2,2680405,32.9
405,np_no_num,2360728,29.0
406,integrated_v2,3426048,42.1
406,np_no_num,4067032,49.9
407,integrated_v2,7316342,89.8
407,np_no_num,6490067,79.7
408,integrated_v2,6604499,81.1
408,np_no_num,6962456,85.5
409,integrated_v2,4669737,57.3
409,np_no_num,4469378,54.9
410,integrated_v2,3870746,47.5
410,np_no_num,3982328,48.9
411,integrated_v2,78189,1.0
411,np_no_num,53755,0.7
412,integrated_v2,2548462,31.3
412,np_no_num,1877750,23.1
413,integrated_v2,803877,9.9
413,np_no_num,1099935,13.5
414,integrated_v2,7944294,97.5
414,np_no_num,7763076,95.3
415,integrated_v2,1539339,18.9
415,np_no_num,1398030,17.2
416,integrated_v2,5072897,62.3
416,np_no_num,4957650,60.9
417,integrated_v2,5938266,72.9
417,np_no_num,6117856,75.1
418,integrated_v2,2752485,33.8
418,np_no_num,2597737,31.9
419,integrated_v2,8118590,99.7
419,np_no_num,8107187,99.5
420,integrated_v2,2456020,30.2
420,np_no_num,2118424,26.0
421,integrated_v2,6795084,83.4
421,np_no_num,7082183,87.0
422,integrated_v2,4122416,50.6
422,np_no_num,4360647,53.5
423,integrated_v2,2175030,26.7
423,np_no_num,2350140,28.9
424,integrated_v2,4355760,53.5
424,np_no_num,5044391,61.9
425,integrated_v2,7603033,93.3
425,np_no_num,7585115,93.1
426,integrated_v2,4191646,51.5
